"term","frequency","density","occurrence"
"absorbed",1,0.000557413600891862,0.002
"academic",1,0.000557413600891862,0.002
"according",1,0.000557413600891862,0.002
"across",1,0.000557413600891862,0.002
"actually",4,0.00222965440356745,0.008
"adam",12,0.00668896321070234,0.024
"adamson",3,0.00167224080267559,0.006
"adding",1,0.000557413600891862,0.002
"address",1,0.000557413600891862,0.002
"adsl",1,0.000557413600891862,0.002
"advertised",1,0.000557413600891862,0.002
"afternoon",1,0.000557413600891862,0.002
"again",3,0.00167224080267559,0.006
"age",1,0.000557413600891862,0.002
"agree",2,0.00111482720178372,0.004
"alan",1,0.000557413600891862,0.002
"alike",1,0.000557413600891862,0.002
"all",12,0.00668896321070234,0.024
"alsa",2,0.00111482720178372,0.004
"alternative",1,0.000557413600891862,0.002
"always",2,0.00111482720178372,0.004
"amazes",1,0.000557413600891862,0.002
"amazingly",1,0.000557413600891862,0.002
"amounts",1,0.000557413600891862,0.002
"ananova ",4,0.00222965440356745,0.008
"and",3,0.00167224080267559,0.006
"andor",1,0.000557413600891862,0.002
"andrew",1,0.000557413600891862,0.002
"angles",1,0.000557413600891862,0.002
"annoyed",1,0.000557413600891862,0.002
"anyone",5,0.00278706800445931,0.01
"apols",2,0.00111482720178372,0.004
"apparent",2,0.00111482720178372,0.004
"appear",1,0.000557413600891862,0.002
"approach",1,0.000557413600891862,0.002
"approx",1,0.000557413600891862,0.002
"aptget",1,0.000557413600891862,0.002
"architecture",1,0.000557413600891862,0.002
"around",1,0.000557413600891862,0.002
"article",3,0.00167224080267559,0.006
"articles",5,0.00278706800445931,0.01
"ask",1,0.000557413600891862,0.002
"asked",2,0.00111482720178372,0.004
"astrophysics",1,0.000557413600891862,0.002
"async",1,0.000557413600891862,0.002
"aug",30,0.0167224080267559,0.06
"august",3,0.00167224080267559,0.006
"automated",1,0.000557413600891862,0.002
"back",1,0.000557413600891862,0.002
"banned",1,0.000557413600891862,0.002
"barbara",1,0.000557413600891862,0.002
"barrera",5,0.00278706800445931,0.01
"barry",1,0.000557413600891862,0.002
"based",1,0.000557413600891862,0.002
"basing",1,0.000557413600891862,0.002
"bbc",1,0.000557413600891862,0.002
"beberg",13,0.0072463768115942,0.026
"bebergmithralcom",1,0.000557413600891862,0.002
"become",1,0.000557413600891862,0.002
"before",2,0.00111482720178372,0.004
"beg",1,0.000557413600891862,0.002
"begin",4,0.00222965440356745,0.008
"beginning",1,0.000557413600891862,0.002
"behalf",1,0.000557413600891862,0.002
"believe",1,0.000557413600891862,0.002
"bell",1,0.000557413600891862,0.002
"benjamin",1,0.000557413600891862,0.002
"benoit",1,0.000557413600891862,0.002
"bet",1,0.000557413600891862,0.002
"better",1,0.000557413600891862,0.002
"beyond",1,0.000557413600891862,0.002
"bfar",7,0.00390189520624303,0.014
"big",1,0.000557413600891862,0.002
"bill",4,0.00222965440356745,0.008
"billion",1,0.000557413600891862,0.002
"bin",1,0.000557413600891862,0.002
"bitbitchmagnesiumnet",4,0.00222965440356745,0.008
"black",1,0.000557413600891862,0.002
"blatantly",1,0.000557413600891862,0.002
"bloke",1,0.000557413600891862,0.002
"blowjob",1,0.000557413600891862,0.002
"bolcer",1,0.000557413600891862,0.002
"bore",1,0.000557413600891862,0.002
"born",1,0.000557413600891862,0.002
"borrow",1,0.000557413600891862,0.002
"bottom",3,0.00167224080267559,0.006
"brady",2,0.00111482720178372,0.004
"breathnach",1,0.000557413600891862,0.002
"breatproexchangeiemlcom",1,0.000557413600891862,0.002
"brendan",2,0.00111482720178372,0.004
"brendanzenorg",1,0.000557413600891862,0.002
"brian",1,0.000557413600891862,0.002
"brickley",1,0.000557413600891862,0.002
"bsd",1,0.000557413600891862,0.002
"building",2,0.00111482720178372,0.004
"built",1,0.000557413600891862,0.002
"buy",1,0.000557413600891862,0.002
"byrne",1,0.000557413600891862,0.002
"caffeine",1,0.000557413600891862,0.002
"called",1,0.000557413600891862,0.002
"calls",1,0.000557413600891862,0.002
"can",4,0.00222965440356745,0.008
"canned",1,0.000557413600891862,0.002
"capabilities",1,0.000557413600891862,0.002
"caps",1,0.000557413600891862,0.002
"car",1,0.000557413600891862,0.002
"carbonara",1,0.000557413600891862,0.002
"careful",1,0.000557413600891862,0.002
"case",1,0.000557413600891862,0.002
"cat",1,0.000557413600891862,0.002
"cbc",1,0.000557413600891862,0.002
"cbs",1,0.000557413600891862,0.002
"cdale",5,0.00278706800445931,0.01
"cdr",1,0.000557413600891862,0.002
"certainly",1,0.000557413600891862,0.002
"chances",1,0.000557413600891862,0.002
"channel",1,0.000557413600891862,0.002
"check",1,0.000557413600891862,0.002
"chick",1,0.000557413600891862,0.002
"chief",1,0.000557413600891862,0.002
"children",1,0.000557413600891862,0.002
"chinese",1,0.000557413600891862,0.002
"chip",1,0.000557413600891862,0.002
"chocolate",1,0.000557413600891862,0.002
"chris",1,0.000557413600891862,0.002
"ciaran",1,0.000557413600891862,0.002
"claimed",2,0.00111482720178372,0.004
"clares",1,0.000557413600891862,0.002
"clearly",1,0.000557413600891862,0.002
"closed",1,0.000557413600891862,0.002
"colin",1,0.000557413600891862,0.002
"columns",1,0.000557413600891862,0.002
"come",1,0.000557413600891862,0.002
"comeon",1,0.000557413600891862,0.002
"common",1,0.000557413600891862,0.002
"commonality",1,0.000557413600891862,0.002
"community",1,0.000557413600891862,0.002
"companies",1,0.000557413600891862,0.002
"component",1,0.000557413600891862,0.002
"computational",1,0.000557413600891862,0.002
"computer",1,0.000557413600891862,0.002
"conference",1,0.000557413600891862,0.002
"configure",2,0.00111482720178372,0.004
"confuse",3,0.00167224080267559,0.006
"congrats",1,0.000557413600891862,0.002
"contents",1,0.000557413600891862,0.002
"cool",1,0.000557413600891862,0.002
"correction",1,0.000557413600891862,0.002
"couple",1,0.000557413600891862,0.002
"course",2,0.00111482720178372,0.004
"craaack",1,0.000557413600891862,0.002
"cracking",1,0.000557413600891862,0.002
"crashes",1,0.000557413600891862,0.002
"cream",1,0.000557413600891862,0.002
"creator",1,0.000557413600891862,0.002
"crypto",1,0.000557413600891862,0.002
"cunniffe",1,0.000557413600891862,0.002
"dad",1,0.000557413600891862,0.002
"daily",3,0.00167224080267559,0.006
"dan",1,0.000557413600891862,0.002
"daniel",1,0.000557413600891862,0.002
"darragh",1,0.000557413600891862,0.002
"darren",1,0.000557413600891862,0.002
"date",3,0.00167224080267559,0.006
"daughter",1,0.000557413600891862,0.002
"dave",1,0.000557413600891862,0.002
"daves",1,0.000557413600891862,0.002
"david",5,0.00278706800445931,0.01
"day",1,0.000557413600891862,0.002
"deafboxhotmailcom",1,0.000557413600891862,0.002
"declan",1,0.000557413600891862,0.002
"default",1,0.000557413600891862,0.002
"defeminized",1,0.000557413600891862,0.002
"definitional",1,0.000557413600891862,0.002
"delusions",1,0.000557413600891862,0.002
"democracy",1,0.000557413600891862,0.002
"dept",1,0.000557413600891862,0.002
"dermodyritcarlowie",1,0.000557413600891862,0.002
"dermodys",1,0.000557413600891862,0.002
"dermot",1,0.000557413600891862,0.002
"desktop",1,0.000557413600891862,0.002
"details",1,0.000557413600891862,0.002
"dexter",1,0.000557413600891862,0.002
"dials",1,0.000557413600891862,0.002
"didnt",1,0.000557413600891862,0.002
"die",1,0.000557413600891862,0.002
"directory",1,0.000557413600891862,0.002
"discipline",1,0.000557413600891862,0.002
"discovery",1,0.000557413600891862,0.002
"discussed",1,0.000557413600891862,0.002
"discussion",1,0.000557413600891862,0.002
"dists",1,0.000557413600891862,0.002
"division",1,0.000557413600891862,0.002
"dmcmann",1,0.000557413600891862,0.002
"dmcmannb",1,0.000557413600891862,0.002
"documented",1,0.000557413600891862,0.002
"domain",1,0.000557413600891862,0.002
"doodle",1,0.000557413600891862,0.002
"doolin",1,0.000557413600891862,0.002
"doom",1,0.000557413600891862,0.002
"doomed",1,0.000557413600891862,0.002
"double",1,0.000557413600891862,0.002
"downloaded",1,0.000557413600891862,0.002
"dragstrip",1,0.000557413600891862,0.002
"dreams",1,0.000557413600891862,0.002
"drive",1,0.000557413600891862,0.002
"driver",2,0.00111482720178372,0.004
"drove",1,0.000557413600891862,0.002
"dublin",1,0.000557413600891862,0.002
"dubya",1,0.000557413600891862,0.002
"dumb",1,0.000557413600891862,0.002
"dunno",1,0.000557413600891862,0.002
"dvds",1,0.000557413600891862,0.002
"dying",1,0.000557413600891862,0.002
"easy",1,0.000557413600891862,0.002
"ebuilt",6,0.00334448160535117,0.012
"effect",1,0.000557413600891862,0.002
"egypt",1,0.000557413600891862,0.002
"ehmadscientistcom",1,0.000557413600891862,0.002
"eirikur",4,0.00222965440356745,0.008
"ejwcseucscedu",3,0.00167224080267559,0.006
"electronic",3,0.00167224080267559,0.006
"elias",2,0.00111482720178372,0.004
"eliascseucscedu",1,0.000557413600891862,0.002
"email",3,0.00167224080267559,0.006
"emerged",1,0.000557413600891862,0.002
"end",3,0.00167224080267559,0.006
"endlessly",1,0.000557413600891862,0.002
"engel",2,0.00111482720178372,0.004
"engineering",1,0.000557413600891862,0.002
"engines",1,0.000557413600891862,0.002
"enough",3,0.00167224080267559,0.006
"eric",1,0.000557413600891862,0.002
"eructed",1,0.000557413600891862,0.002
"est",1,0.000557413600891862,0.002
"ethernet",1,0.000557413600891862,0.002
"eugen",4,0.00222965440356745,0.008
"eur",1,0.000557413600891862,0.002
"europe",2,0.00111482720178372,0.004
"eval",1,0.000557413600891862,0.002
"even",2,0.00111482720178372,0.004
"evening",1,0.000557413600891862,0.002
"ever",1,0.000557413600891862,0.002
"everybody",1,0.000557413600891862,0.002
"everyone",2,0.00111482720178372,0.004
"everything",1,0.000557413600891862,0.002
"example",1,0.000557413600891862,0.002
"exe",1,0.000557413600891862,0.002
"exmhp",5,0.00278706800445931,0.01
"explain",1,0.000557413600891862,0.002
"explosion",1,0.000557413600891862,0.002
"extraordinary",1,0.000557413600891862,0.002
"fair",1,0.000557413600891862,0.002
"family",2,0.00111482720178372,0.004
"fantasy",1,0.000557413600891862,0.002
"far",1,0.000557413600891862,0.002
"feet",1,0.000557413600891862,0.002
"female",1,0.000557413600891862,0.002
"fergal",1,0.000557413600891862,0.002
"fetchmail",1,0.000557413600891862,0.002
"figure",1,0.000557413600891862,0.002
"figured",1,0.000557413600891862,0.002
"file",1,0.000557413600891862,0.002
"files",1,0.000557413600891862,0.002
"finally",2,0.00111482720178372,0.004
"find",2,0.00111482720178372,0.004
"first",1,0.000557413600891862,0.002
"flavour",1,0.000557413600891862,0.002
"folk",1,0.000557413600891862,0.002
"folks",2,0.00111482720178372,0.004
"followed",1,0.000557413600891862,0.002
"following",2,0.00111482720178372,0.004
"for",1,0.000557413600891862,0.002
"fork",4,0.00222965440356745,0.008
"forkadminxentcom",1,0.000557413600891862,0.002
"format",2,0.00111482720178372,0.004
"fortean",1,0.000557413600891862,0.002
"forteanay",3,0.00167224080267559,0.006
"found",1,0.000557413600891862,0.002
"fournier",1,0.000557413600891862,0.002
"frame",1,0.000557413600891862,0.002
"frank",1,0.000557413600891862,0.002
"french",1,0.000557413600891862,0.002
"fri",13,0.0072463768115942,0.026
"friday",2,0.00111482720178372,0.004
"from",6,0.00334448160535117,0.012
"fuggin",1,0.000557413600891862,0.002
"fun",1,0.000557413600891862,0.002
"function",1,0.000557413600891862,0.002
"funny",1,0.000557413600891862,0.002
"fwded",1,0.000557413600891862,0.002
"gary",4,0.00222965440356745,0.008
"garymcanadacom",2,0.00111482720178372,0.004
"garys",1,0.000557413600891862,0.002
"gave",1,0.000557413600891862,0.002
"geege",2,0.00111482720178372,0.004
"genius",1,0.000557413600891862,0.002
"gentlemen",1,0.000557413600891862,0.002
"get",6,0.00334448160535117,0.012
"given",1,0.000557413600891862,0.002
"glad",1,0.000557413600891862,0.002
"glm",1,0.000557413600891862,0.002
"god",1,0.000557413600891862,0.002
"goddess",1,0.000557413600891862,0.002
"gods",1,0.000557413600891862,0.002
"goes",1,0.000557413600891862,0.002
"gonzaga",1,0.000557413600891862,0.002
"gonze",3,0.00167224080267559,0.006
"good",3,0.00167224080267559,0.006
"goodun",1,0.000557413600891862,0.002
"gordon",2,0.00111482720178372,0.004
"got",2,0.00111482720178372,0.004
"gotton",1,0.000557413600891862,0.002
"government",1,0.000557413600891862,0.002
"great",4,0.00222965440356745,0.008
"green",1,0.000557413600891862,0.002
"gregory",1,0.000557413600891862,0.002
"group",1,0.000557413600891862,0.002
"guess",1,0.000557413600891862,0.002
"haase",2,0.00111482720178372,0.004
"hack",1,0.000557413600891862,0.002
"hah",1,0.000557413600891862,0.002
"half",1,0.000557413600891862,0.002
"hall",2,0.00111482720178372,0.004
"hallgrimsson",3,0.00167224080267559,0.006
"handsets",2,0.00111482720178372,0.004
"hard",1,0.000557413600891862,0.002
"harley",7,0.00390189520624303,0.014
"harleyargotech",2,0.00111482720178372,0.004
"haunsfroehlingsdorfinfinetivitycom",1,0.000557413600891862,0.002
"headline",2,0.00111482720178372,0.004
"headlines",1,0.000557413600891862,0.002
"hehe",1,0.000557413600891862,0.002
"helen",1,0.000557413600891862,0.002
"hell",1,0.000557413600891862,0.002
"hello",5,0.00278706800445931,0.01
"help",2,0.00111482720178372,0.004
"here",2,0.00111482720178372,0.004
"hettinga",1,0.000557413600891862,0.002
"hey",2,0.00111482720178372,0.004
"higher",1,0.000557413600891862,0.002
"hilliard",1,0.000557413600891862,0.002
"hindus",2,0.00111482720178372,0.004
"hire",1,0.000557413600891862,0.002
"hit",1,0.000557413600891862,0.002
"hitler",2,0.00111482720178372,0.002
"hoax",1,0.000557413600891862,0.002
"holds",1,0.000557413600891862,0.002
"holidays",1,0.000557413600891862,0.002
"homer",1,0.000557413600891862,0.002
"honors",1,0.000557413600891862,0.002
"honour",1,0.000557413600891862,0.002
"hooooo",1,0.000557413600891862,0.002
"hosted",1,0.000557413600891862,0.002
"hours",1,0.000557413600891862,0.002
"howm",1,0.000557413600891862,0.002
"html",1,0.000557413600891862,0.002
"httpboingboingnet",4,0.00222965440356745,0.008
"httpdiveintomarkorgarchiveshtmlteachamantofish",1,0.000557413600891862,0.002
"httpmediaguardiancoukbroadcastcommenthtml",1,0.000557413600891862,0.002
"httpnewsbbccoukhientertainmentshowbizstm",1,0.000557413600891862,0.002
"httpnewsbbccoukhitechnologystm",1,0.000557413600891862,0.002
"httpnewsbbccoukhiukstm",2,0.00111482720178372,0.004
"httpnewsbbccoukhiworldasiapacificstm",1,0.000557413600891862,0.002
"httpopositestsciedupubinfopr",1,0.000557413600891862,0.002
"httpreuterscomnewsarticlejhtmltypeentertainmentnewsstoryid",1,0.000557413600891862,0.002
"httpwwwaaronswcomweblog",1,0.000557413600891862,0.002
"httpwwwarstechnicacom",1,0.000557413600891862,0.002
"httpwwwbbccoukradioaltnirelandniteamshtml",1,0.000557413600891862,0.002
"httpwwwcnncomworldamericasperumotherreutindexhtml",1,0.000557413600891862,0.002
"httpwwwguardiancoukclimatechangestoryhtml",1,0.000557413600891862,0.002
"httpwwwguardiancoukinternationalstoryhtml",1,0.000557413600891862,0.002
"httpwwwguardiancoukreligionstoryhtml",1,0.000557413600891862,0.002
"httpwwwguardiancoukuknewsstoryhtml",1,0.000557413600891862,0.002
"httpwwwidgnet",1,0.000557413600891862,0.002
"httpwwwironcladnetau",3,0.00167224080267559,0.006
"httpwwwnewsisfreecomclick",7,0.00390189520624303,0.014
"httpwwwnmecomnewshtm",1,0.000557413600891862,0.002
"httpwwwnytimescomtechnologykorehtml",1,0.000557413600891862,0.002
"httpwwwouchytheclowncomwelcomehtml",1,0.000557413600891862,0.002
"httpwwwtechcentralstationcomprinterjspcidb",1,0.000557413600891862,0.002
"httpwwwwashingtonpostcomwpdynarticlesaocthtml",1,0.000557413600891862,0.002
"httpyorkshirepostcoukedfront",1,0.000557413600891862,0.002
"httpyorkshirepostcoukscriptseditorialcgicidnewsaid",2,0.00111482720178372,0.004
"hubble",1,0.000557413600891862,0.002
"hunting",1,0.000557413600891862,0.002
"hurting",1,0.000557413600891862,0.002
"hussein",1,0.000557413600891862,0.002
"ian",1,0.000557413600891862,0.002
"icy",1,0.000557413600891862,0.002
"ideas",1,0.000557413600891862,0.002
"iii",5,0.00278706800445931,0.01
"iknow",1,0.000557413600891862,0.002
"illusionist",1,0.000557413600891862,0.002
"imac",1,0.000557413600891862,0.002
"imo",1,0.000557413600891862,0.002
"impeached",1,0.000557413600891862,0.002
"inclined",1,0.000557413600891862,0.002
"included",2,0.00111482720178372,0.004
"increasing",1,0.000557413600891862,0.002
"infinite",1,0.000557413600891862,0.002
"info",1,0.000557413600891862,0.002
"information",1,0.000557413600891862,0.002
"inn",3,0.00167224080267559,0.006
"insane",1,0.000557413600891862,0.002
"instead",2,0.00111482720178372,0.004
"interested",1,0.000557413600891862,0.002
"interesting",2,0.00111482720178372,0.004
"internal",1,0.000557413600891862,0.002
"internet",2,0.00111482720178372,0.004
"intersectedness",1,0.000557413600891862,0.002
"into",1,0.000557413600891862,0.002
"iols",1,0.000557413600891862,0.002
"irix",1,0.000557413600891862,0.002
"ironclad",3,0.00167224080267559,0.006
"irvine",1,0.000557413600891862,0.002
"isos",1,0.000557413600891862,0.002
"issues",1,0.000557413600891862,0.002
"ive",2,0.00111482720178372,0.004
"jakma",2,0.00111482720178372,0.004
"james",1,0.000557413600891862,0.002
"jamesrbestcom",1,0.000557413600891862,0.002
"jim",8,0.00445930880713489,0.016
"joebar",1,0.000557413600891862,0.002
"john",10,0.00557413600891862,0.02
"johnhallevergonet",1,0.000557413600891862,0.002
"johnston",1,0.000557413600891862,0.002
"joked",1,0.000557413600891862,0.002
"jon",1,0.000557413600891862,0.002
"joseph",5,0.00278706800445931,0.01
"journal",1,0.000557413600891862,0.002
"just",9,0.00501672240802676,0.018
"justin",4,0.00222965440356745,0.008
"kasichainula",1,0.000557413600891862,0.002
"kehoe",2,0.00111482720178372,0.004
"kenny",1,0.000557413600891862,0.002
"kernels",1,0.000557413600891862,0.002
"kevin",1,0.000557413600891862,0.002
"kevindatedeiesubericnet",1,0.000557413600891862,0.002
"khare",1,0.000557413600891862,0.002
"kialllistsredpiecom",1,0.000557413600891862,0.002
"kids",1,0.000557413600891862,0.002
"kind",1,0.000557413600891862,0.002
"kings",1,0.000557413600891862,0.002
"kinky",1,0.000557413600891862,0.002
"klez",1,0.000557413600891862,0.002
"know",9,0.00501672240802676,0.018
"known",1,0.000557413600891862,0.002
"knows",1,0.000557413600891862,0.002
"kragen",3,0.00167224080267559,0.006
"kvim",1,0.000557413600891862,0.002
"lacy",1,0.000557413600891862,0.002
"laden",1,0.000557413600891862,0.002
"laptop",1,0.000557413600891862,0.002
